Frame,Timestamp,Lane,Cars,Bikes
0,2026-05-14 10:48:14,0,0,0
0,2026-05-14 10:48:14,1,0,0
0,2026-05-14 10:48:14,2,0,0
0,2026-05-14 10:48:14,3,0,0
0,2026-05-14 10:48:14,4,0,0
0,2026-05-14 10:48:14,5,0,0
0,2026-05-14 10:48:14,6,0,0
0,2026-05-14 10:48:14,7,0,0
0,2026-05-14 10:48:14,8,0,0
0,2026-05-14 10:48:14,9,1,0
0,2026-05-14 10:48:14,10,0,0
0,2026-05-14 10:48:14,11,0,0
0,2026-05-14 10:48:14,12,0,0
0,2026-05-14 10:48:14,13,0,0
0,2026-05-14 10:48:14,14,0,0
0,2026-05-14 10:48:14,15,0,0
6,2026-05-14 10:48:14,0,0,0
6,2026-05-14 10:48:14,1,0,0
6,2026-05-14 10:48:14,2,0,0
6,2026-05-14 10:48:14,3,0,0
6,2026-05-14 10:48:14,4,0,0
6,2026-05-14 10:48:14,5,0,0
6,2026-05-14 10:48:14,6,0,0
6,2026-05-14 10:48:14,7,0,0
6,2026-05-14 10:48:14,8,0,0
6,2026-05-14 10:48:14,9,1,0
6,2026-05-14 10:48:14,10,0,0
6,2026-05-14 10:48:14,11,0,0
6,2026-05-14 10:48:14,12,0,0
6,2026-05-14 10:48:14,13,0,0
6,2026-05-14 10:48:14,14,0,0
6,2026-05-14 10:48:14,15,0,0
12,2026-05-14 10:48:14,0,0,0
12,2026-05-14 10:48:14,1,0,0
12,2026-05-14 10:48:14,2,0,0
12,2026-05-14 10:48:14,3,0,0
12,2026-05-14 10:48:14,4,0,0
12,2026-05-14 10:48:14,5,0,0
12,2026-05-14 10:48:14,6,0,0
12,2026-05-14 10:48:14,7,0,0
12,2026-05-14 10:48:14,8,0,0
12,2026-05-14 10:48:14,9,0,0
12,2026-05-14 10:48:14,10,0,0
12,2026-05-14 10:48:14,11,0,0
12,2026-05-14 10:48:14,12,0,0
12,2026-05-14 10:48:14,13,0,0
12,2026-05-14 10:48:14,14,0,0
12,2026-05-14 10:48:14,15,0,0
18,2026-05-14 10:48:14,0,0,0
18,2026-05-14 10:48:14,1,0,0
18,2026-05-14 10:48:14,2,0,0
18,2026-05-14 10:48:14,3,0,0
18,2026-05-14 10:48:14,4,0,0
18,2026-05-14 10:48:14,5,0,0
18,2026-05-14 10:48:14,6,0,0
18,2026-05-14 10:48:14,7,0,0
18,2026-05-14 10:48:14,8,0,1
18,2026-05-14 10:48:14,9,0,0
18,2026-05-14 10:48:14,10,0,0
18,2026-05-14 10:48:14,11,0,0
18,2026-05-14 10:48:14,12,0,0
18,2026-05-14 10:48:14,13,0,0
18,2026-05-14 10:48:14,14,0,0
18,2026-05-14 10:48:14,15,0,0
24,2026-05-14 10:48:14,0,0,0
24,2026-05-14 10:48:14,1,0,0
24,2026-05-14 10:48:14,2,0,0
24,2026-05-14 10:48:14,3,0,0
24,2026-05-14 10:48:14,4,0,0
24,2026-05-14 10:48:14,5,0,0
24,2026-05-14 10:48:14,6,0,0
24,2026-05-14 10:48:14,7,0,0
24,2026-05-14 10:48:14,8,0,0
24,2026-05-14 10:48:14,9,0,0
24,2026-05-14 10:48:14,10,0,0
24,2026-05-14 10:48:14,11,0,0
24,2026-05-14 10:48:14,12,0,0
24,2026-05-14 10:48:14,13,0,0
24,2026-05-14 10:48:14,14,0,0
24,2026-05-14 10:48:14,15,0,0
30,2026-05-14 10:48:14,0,0,0
30,2026-05-14 10:48:14,1,0,1
30,2026-05-14 10:48:14,2,0,0
30,2026-05-14 10:48:14,3,0,0
30,2026-05-14 10:48:14,4,0,0
30,2026-05-14 10:48:14,5,0,0
30,2026-05-14 10:48:14,6,0,0
30,2026-05-14 10:48:14,7,0,0
30,2026-05-14 10:48:14,8,0,1
30,2026-05-14 10:48:14,9,1,0
30,2026-05-14 10:48:14,10,0,0
30,2026-05-14 10:48:14,11,0,0
30,2026-05-14 10:48:14,12,0,0
30,2026-05-14 10:48:14,13,0,0
30,2026-05-14 10:48:14,14,0,0
30,2026-05-14 10:48:14,15,0,0
36,2026-05-14 10:48:14,0,0,0
36,2026-05-14 10:48:14,1,0,0
36,2026-05-14 10:48:14,2,0,0
36,2026-05-14 10:48:14,3,0,0
36,2026-05-14 10:48:14,4,0,0
36,2026-05-14 10:48:14,5,0,0
36,2026-05-14 10:48:14,6,0,0
36,2026-05-14 10:48:14,7,0,0
36,2026-05-14 10:48:14,8,0,1
36,2026-05-14 10:48:14,9,1,0
36,2026-05-14 10:48:14,10,0,0
36,2026-05-14 10:48:14,11,0,0
36,2026-05-14 10:48:14,12,0,0
36,2026-05-14 10:48:14,13,0,0
36,2026-05-14 10:48:14,14,0,0
36,2026-05-14 10:48:14,15,0,0
42,2026-05-14 10:48:14,0,0,0
42,2026-05-14 10:48:14,1,0,0
42,2026-05-14 10:48:14,2,0,0
42,2026-05-14 10:48:14,3,0,0
42,2026-05-14 10:48:14,4,0,0
42,2026-05-14 10:48:14,5,0,0
42,2026-05-14 10:48:14,6,0,0
42,2026-05-14 10:48:14,7,0,0
42,2026-05-14 10:48:14,8,0,1
42,2026-05-14 10:48:14,9,1,0
42,2026-05-14 10:48:14,10,0,0
42,2026-05-14 10:48:14,11,0,0
42,2026-05-14 10:48:14,12,0,0
42,2026-05-14 10:48:14,13,0,0
42,2026-05-14 10:48:14,14,0,0
42,2026-05-14 10:48:14,15,0,0
48,2026-05-14 10:48:14,0,0,0
48,2026-05-14 10:48:14,1,0,0
48,2026-05-14 10:48:14,2,0,0
48,2026-05-14 10:48:14,3,0,1
48,2026-05-14 10:48:14,4,0,0
48,2026-05-14 10:48:14,5,0,0
48,2026-05-14 10:48:14,6,0,0
48,2026-05-14 10:48:14,7,0,1
48,2026-05-14 10:48:14,8,0,1
48,2026-05-14 10:48:14,9,0,0
48,2026-05-14 10:48:14,10,0,0
48,2026-05-14 10:48:14,11,0,0
48,2026-05-14 10:48:14,12,0,0
48,2026-05-14 10:48:14,13,0,0
48,2026-05-14 10:48:14,14,0,0
48,2026-05-14 10:48:14,15,0,0
54,2026-05-14 10:48:14,0,0,0
54,2026-05-14 10:48:14,1,0,0
54,2026-05-14 10:48:14,2,0,0
54,2026-05-14 10:48:14,3,0,1
54,2026-05-14 10:48:14,4,0,0
54,2026-05-14 10:48:14,5,0,0
54,2026-05-14 10:48:14,6,0,0
54,2026-05-14 10:48:14,7,0,1
54,2026-05-14 10:48:14,8,0,1
54,2026-05-14 10:48:14,9,0,0
54,2026-05-14 10:48:14,10,0,0
54,2026-05-14 10:48:14,11,0,0
54,2026-05-14 10:48:14,12,0,0
54,2026-05-14 10:48:14,13,0,0
54,2026-05-14 10:48:14,14,0,0
54,2026-05-14 10:48:14,15,0,0
60,2026-05-14 10:48:14,0,0,0
60,2026-05-14 10:48:14,1,0,1
60,2026-05-14 10:48:14,2,0,0
60,2026-05-14 10:48:14,3,0,0
60,2026-05-14 10:48:14,4,0,0
60,2026-05-14 10:48:14,5,0,0
60,2026-05-14 10:48:14,6,0,0
60,2026-05-14 10:48:14,7,0,0
60,2026-05-14 10:48:14,8,0,1
60,2026-05-14 10:48:14,9,0,0
60,2026-05-14 10:48:14,10,0,0
60,2026-05-14 10:48:14,11,0,0
60,2026-05-14 10:48:14,12,0,0
60,2026-05-14 10:48:14,13,0,0
60,2026-05-14 10:48:14,14,0,1
60,2026-05-14 10:48:14,15,0,0
66,2026-05-14 10:48:14,0,0,0
66,2026-05-14 10:48:14,1,0,1
66,2026-05-14 10:48:14,2,0,0
66,2026-05-14 10:48:14,3,0,0
66,2026-05-14 10:48:14,4,0,0
66,2026-05-14 10:48:14,5,0,0
66,2026-05-14 10:48:14,6,0,0
66,2026-05-14 10:48:14,7,0,0
66,2026-05-14 10:48:14,8,0,1
66,2026-05-14 10:48:14,9,0,0
66,2026-05-14 10:48:14,10,0,0
66,2026-05-14 10:48:14,11,0,0
66,2026-05-14 10:48:14,12,0,0
66,2026-05-14 10:48:14,13,0,0
66,2026-05-14 10:48:14,14,0,1
66,2026-05-14 10:48:14,15,0,0
72,2026-05-14 10:48:14,0,0,0
72,2026-05-14 10:48:14,1,0,1
72,2026-05-14 10:48:14,2,0,0
72,2026-05-14 10:48:14,3,0,0
72,2026-05-14 10:48:14,4,0,0
72,2026-05-14 10:48:14,5,0,0
72,2026-05-14 10:48:14,6,0,0
72,2026-05-14 10:48:14,7,0,0
72,2026-05-14 10:48:14,8,0,1
72,2026-05-14 10:48:14,9,1,0
72,2026-05-14 10:48:14,10,0,0
72,2026-05-14 10:48:14,11,0,0
72,2026-05-14 10:48:14,12,0,0
72,2026-05-14 10:48:14,13,0,0
72,2026-05-14 10:48:14,14,0,1
72,2026-05-14 10:48:14,15,0,0
78,2026-05-14 10:48:14,0,0,0
78,2026-05-14 10:48:14,1,0,1
78,2026-05-14 10:48:14,2,0,0
78,2026-05-14 10:48:14,3,0,0
78,2026-05-14 10:48:14,4,0,0
78,2026-05-14 10:48:14,5,0,0
78,2026-05-14 10:48:14,6,0,0
78,2026-05-14 10:48:14,7,0,0
78,2026-05-14 10:48:14,8,0,1
78,2026-05-14 10:48:14,9,0,0
78,2026-05-14 10:48:14,10,0,0
78,2026-05-14 10:48:14,11,0,0
78,2026-05-14 10:48:14,12,0,0
78,2026-05-14 10:48:14,13,0,0
78,2026-05-14 10:48:14,14,0,1
78,2026-05-14 10:48:14,15,0,0
84,2026-05-14 10:48:14,0,0,0
84,2026-05-14 10:48:14,1,0,1
84,2026-05-14 10:48:14,2,0,0
84,2026-05-14 10:48:14,3,0,0
84,2026-05-14 10:48:14,4,0,0
84,2026-05-14 10:48:14,5,0,0
84,2026-05-14 10:48:14,6,0,0
84,2026-05-14 10:48:14,7,0,0
84,2026-05-14 10:48:14,8,0,1
84,2026-05-14 10:48:14,9,0,0
84,2026-05-14 10:48:14,10,0,0
84,2026-05-14 10:48:14,11,0,0
84,2026-05-14 10:48:14,12,0,0
84,2026-05-14 10:48:14,13,0,0
84,2026-05-14 10:48:14,14,0,1
84,2026-05-14 10:48:14,15,0,0
90,2026-05-14 10:48:14,0,0,0
90,2026-05-14 10:48:14,1,0,1
90,2026-05-14 10:48:14,2,0,0
90,2026-05-14 10:48:14,3,0,0
90,2026-05-14 10:48:14,4,0,0
90,2026-05-14 10:48:14,5,0,0
90,2026-05-14 10:48:14,6,0,0
90,2026-05-14 10:48:14,7,0,0
90,2026-05-14 10:48:14,8,0,1
90,2026-05-14 10:48:14,9,0,0
90,2026-05-14 10:48:14,10,0,0
90,2026-05-14 10:48:14,11,0,0
90,2026-05-14 10:48:14,12,0,0
90,2026-05-14 10:48:14,13,0,0
90,2026-05-14 10:48:14,14,0,0
90,2026-05-14 10:48:14,15,0,0
96,2026-05-14 10:48:14,0,0,0
96,2026-05-14 10:48:14,1,0,0
96,2026-05-14 10:48:14,2,0,0
96,2026-05-14 10:48:14,3,0,0
96,2026-05-14 10:48:14,4,0,0
96,2026-05-14 10:48:14,5,0,0
96,2026-05-14 10:48:14,6,0,0
96,2026-05-14 10:48:14,7,0,0
96,2026-05-14 10:48:14,8,0,1
96,2026-05-14 10:48:14,9,1,0
96,2026-05-14 10:48:14,10,0,0
96,2026-05-14 10:48:14,11,0,0
